"Name","PackageFullName","DisplayName","DisplayVersion","Publisher","InstallDate","IsFramework","IsResourcePackage","InstallLocation","UserSid"
"14382rajuacharya.EthicalHackingResources","14382rajuacharya.EthicalHackingResources_1.0.0.0_neutral__pc7qkqst7ppf6","14382rajuacharya.EthicalHackingResources","1.0.0.0","CN=EA375AAC-419B-476C-96F8-403937BFFA1F",,"False","False","C:\Program Files\WindowsApps\14382rajuacharya.EthicalHackingResources_1.0.0.0_neutral__pc7qkqst7ppf6",
"1527c705-839a-4832-9118-54d4Bd6a0c89","1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.19640.1000_neutral_neutral_cw5n1h2txyewy","1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy",
"4DF9E0F8.Netflix","4DF9E0F8.Netflix_7.0.8.0_neutral__mcm4njqhnhss8","4DF9E0F8.Netflix","7.0.8.0","CN=52120C15-ACFA-47FC-A7E3-4974DBA79445",,"False","False","C:\Program Files\WindowsApps\4DF9E0F8.Netflix_7.0.8.0_neutral__mcm4njqhnhss8",
"50201CarrApps.AsusRouterMonitor","50201CarrApps.AsusRouterMonitor_1.3.14.0_x64__m909vcfqs948w","50201CarrApps.AsusRouterMonitor","1.3.14.0","CN=0CF76678-C59F-430C-8B97-F019FCB49088",,"False","False","C:\Program Files\WindowsApps\50201CarrApps.AsusRouterMonitor_1.3.14.0_x64__m909vcfqs948w",
"50257Terren.SimpleWebServer","50257Terren.SimpleWebServer_1.2.17.0_x64__g5pzyyqw9rbaj","50257Terren.SimpleWebServer","1.2.17.0","CN=823B8264-37A4-4589-B252-9E44611E01EB",,"False","False","C:\Program Files\WindowsApps\50257Terren.SimpleWebServer_1.2.17.0_x64__g5pzyyqw9rbaj",
"53028HelgeMagnusKeck.WiFiTool","53028HelgeMagnusKeck.WiFiTool_1.6.31.0_x64__kmtq5bk764tmy","53028HelgeMagnusKeck.WiFiTool","1.6.31.0","CN=B9580ECC-C477-45A8-9E55-2DE68B1D7DDB",,"False","False","C:\Program Files\WindowsApps\53028HelgeMagnusKeck.WiFiTool_1.6.31.0_x64__kmtq5bk764tmy",
"5319275A.WhatsAppDesktop","5319275A.WhatsAppDesktop_2.2587.8.0_x64__cv1g1gvanyjgm","5319275A.WhatsAppDesktop","2.2587.8.0","CN=24803D75-212C-471A-BC57-9EF86AB91435",,"False","False","C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2587.8.0_x64__cv1g1gvanyjgm",
"53354DuckheadSoftware.HEICtoJPEGFREE","53354DuckheadSoftware.HEICtoJPEGFREE_13.0.8.0_x64__2gc4m0bggm024","53354DuckheadSoftware.HEICtoJPEGFREE","13.0.8.0","CN=2734ABDF-F8F2-4ADC-8E96-4AF7B084EC38",,"False","False","C:\Program Files\WindowsApps\53354DuckheadSoftware.HEICtoJPEGFREE_13.0.8.0_x64__2gc4m0bggm024",
"A-Volute.28054DF1F58B4","A-Volute.28054DF1F58B4_3.16.23.0_x64__w2gh52qy24etm","A-Volute.28054DF1F58B4","3.16.23.0","CN=21E1B422-257A-44A2-9C8F-379165856473",,"False","False","C:\Program Files\WindowsApps\A-Volute.28054DF1F58B4_3.16.23.0_x64__w2gh52qy24etm",
"A-Volute.SonicStudio3","A-Volute.SonicStudio3_3.16.23.0_x64__w2gh52qy24etm","A-Volute.SonicStudio3","3.16.23.0","CN=21E1B422-257A-44A2-9C8F-379165856473",,"False","False","C:\Program Files\WindowsApps\A-Volute.SonicStudio3_3.16.23.0_x64__w2gh52qy24etm",
